Opportunity;Name;Link;Criteria;Industrial segment;Segment tags;Stage;Geography;Funding Amount;Deadline;Quick info;CVR at application;CVR at programme start;KU support unit;KU faculty focus;KU contact email;KU contact hint;KU support page;Fund contact email
Awards;Creative Business Cup;https://www.cbnet.com/creative-business-cup;DK-based creative industry startups;Creative & Media;Creative Industries;All stages;DK, International;Prize-based (national/global packages vary yearly);Annual (varies);Creative Business Network global competition for creative-industry startups. National rounds (incl. Denmark) feed Global Finals. Prize and in-kind packages vary by year and national partner. Incorporated startups often preferred for competition rounds.;Any;Any;—;;;;;
Awards;EY Entrepreneur of the Year;https://ey.com/dk;DK-based entrepreneurs;General;General;All stages;DK;Recognition only (no cash prize);Annual (varies);"Prestigious annual award programme recognising outstanding Danish entrepreneurs across categories; visibility and national profile.";Any;Any;—;;;;;
Awards;Global Startup Awards;https://globalstartupawards.com;Global startups;General;General;All stages;Global;Recognition only (in-kind from sponsors);Annual (varies);International startup awards with Nordic regional rounds celebrating founders across categories and stages.;Any;Any;—;;;;;
Awards;Green Leap Challenge;https://www.foodbiocluster.dk/;DK-based early agrifood / bioresource ideas (pre-sales);Life Sciences, Food & Agriculture, Cleantech & Energy;Cleantech, Sustainability, Food, Biotech;Exploratory innovation;DK;DKK 50K per winner (3 prizes/year);"Annual (varies; typically spring/autumn call)";Food & Bio Cluster Denmark annual idea competition for green agrifood and bioresource concepts (often pre-sales). Typically 3 × DKK 50K prizes plus exposure. Watch Food & Bio Cluster news/events for the next call. Winners typically incorporate or already have CVR to receive DKK 50K.;Any;Any;—;;;;;
Awards;Nordic Proptech Awards 2026;https://nordicproptechawards.com;Nordics-based proptech startups;Tech & AI;PropTech;All stages;Nordics;Recognition only (in-kind: mentorship, membership);Annual (2026);Annual awards recognising leading Nordic proptech startups and innovations in real estate technology.;Any;Any;—;;;;;
Awards;Nordic Women in Tech Awards;https://nordicwomenintechawards.com/;Nordics-based female leaders in tech;Tech & AI;Tech;All stages;Nordics;Recognition only (no cash prize);Annual (varies);"Volunteer-run annual awards gala celebrating female role models in Nordic tech across 11 categories; conference and networking events.";Any;Any;—;;;;;
Awards;Odin Award;https://igniteodense.nu/investor-odin-award/;DK-based startups and scaleups (Odense/Fyn ecosystem);General;General;All stages;DK;"DKK 40K (main prize; category amounts vary)";Annual (varies);"Odense/Fyn awards (Odin, Tech, Concept, Impact) organised with Ignite Odense / Coworking Plus. Main prize historically around DKK 40K; category amounts vary. Concept targets early pre-company ideas; other categories favour established startups. Concept category targets pre-CVR ideas; Odin/Tech/Impact categories are for established startups (CVR expected).";No;Any;—;;;;;
Events;CPH Townhall;https://techstartup.dk/;DK-based Copenhagen startups;General;General;All stages;DK;Event (no grant);Recurring / per event;Townhall-style Copenhagen startup community events run under Techstartup.dk (pitches, networking, ecosystem updates). Townhall is one of their recurring formats.;Any;Any;—;;;;;
Events;Danmarks Entreprenørskabsfestival;https://ffefonden.dk/festival/;Pupils, students and educators in entrepreneurship education (primary to higher ed);General, Social Impact;General, Education;All stages;DK;Event / prizes within education programmes (varies);"Annual (Nov; multiple locations)";Fonden for Entreprenørskab’s national entrepreneurship-in-education festival across six locations (primary, youth and higher education). Includes INSPIRE teacher conference, pitching finales (e.g. Projekt Edison, Start Up Programme) and prizes — primarily an education ecosystem event, not a general startup conference.;Any;Any;Lighthouse;;lighthouse@ku.dk;KU Lighthouse / Fonden for Entreprenørskab;;
Events;Digital Tech Summit;https://digitaltechsummit.dk;DK-based tech startups;General, Tech & AI;Tech, General;All stages;DK;;Annual (varies);Major Danish tech conference connecting startups, corporates, and investors with programme tracks across digital technologies.;Any;Any;—;;;;;
Events;Founder Festival;https://foundersfestival.dk/;Self-employed / sole traders / aspiring founders (Odense focus);General;General;All stages;DK;Event (no grant);3 September 2026;One-day Founders Festival in Odense (Thrige Firkanten), organised by Ejendomsselskabet Olav de Linde and Odense Kommune. Talks, workshops and 1:1 advisor sessions for new and established self-employed founders and people considering starting.;Any;Any;—;;;;;
Events;Ignite;https://ignite.dk;DK-based startups;General;General;All stages;DK;;Annual (varies);Odense entrepreneurship festival (Ignite Odense) with talks, networking, and award ceremonies for Funen-region startups.;Any;Any;—;;;;;
Events;JoinUp North;https://joinupnorth.com;Nordics-based startups;General;General;All stages;Nordics;;Annual (varies);Annual Nordic startup gathering connecting founders, investors, and ecosystem players across the region. Cross-border networking and matchmaking — no funding attached.;Any;Any;—;;;;;
Events;Nordic Fintech Week;https://nordicfintechweek.com;Nordics-based fintech startups;Tech & AI;Fintech;All stages;Nordics;;Annual (varies);Annual fintech conference and networking week for Nordic fintech startups, investors, and financial institutions. Programme tracks, panels, and investor meetings across the Nordic ecosystem.;Any;Any;—;;;;;
Events;Nordic Innovation Fair;https://nordicinnovationfair.com;Nordics-based startups;General;General;All stages;Nordics;;Annual (fall);Fall innovation fair showcasing Nordic startups, research, and cross-border collaboration opportunities.;Any;Any;—;;;;;
Events;Odense Investor Summit;https://investinodense.com/odense-investor-summit/;DK-based startups;General;General;All stages;DK;Event (no grant);Annual (varies);Annual investor–startup summit in Odense connecting Funen-region companies with angels, VCs, and corporates. Pitching and curated matchmaking for the local growth ecosystem.;Any;Any;—;;;;;
Events;SMIL;https://www.startupaarhus.com/events/smil;DK-based startups (Aarhus-hosted national festival);General;General;Venture formation;DK;"Event (ticketed; no grant)";Annual (varies);Annual Aarhus startup festival curated by Startup Aarhus (next edition marketed as SMIL’27). Curated sessions connecting founders, investors and operators — not a cash-prize competition.;Any;Any;—;;;;;
Events;Seedster;https://seedster.dk;DK-based early-stage startups;General;General;Venture formation;DK;Paid attendance (~€995+ excl. VAT);Annual (varies);"Week-long entrepreneurship bootcamp in Marbella (not a pitch competition). Mentorship, workshops, and networking; fee covers programme, catering, and hotel.";Any;Any;—;;;;;
Events;Startup Aarhus Townhall;https://startupaarhus.dk;DK-based Aarhus startups;General;General;All stages;DK;;Annual (varies);Aarhus startup townhall events with local founder pitches, ecosystem news, and networking.;Any;Any;—;;;;;
Events;Startup Lab;https://startuplab.dk;DK-based early-stage startups;General;General;Venture formation;DK;;Rolling;Copenhagen startup community and event series offering networking, pitch opportunities, and ecosystem connections for early-stage founders.;Any;Any;—;;;;;
Events;Startup Planet;https://startupplanet.dk;DK-based startups;General;General;All stages;DK;;Annual (varies);Danish startup community event series for networking, inspiration, and founder connections.;Any;Any;—;;;;;
Events;TechBBQ;https://techbbq.org;Nordics-based tech startups;General, Tech & AI;Tech, General;All stages;Nordics;;Annual (September);Nordic's major tech conference in Copenhagen: investor meetings, side events, and startup showcase.;Any;Any;—;;;;;
Female Initiatives;Even Founders;https://www.evenfounders.com/;DK-based female entrepreneurs;General;General;All stages;DK;Varies;Rolling;Non-profit supporting Nordic women founders via Startup School (12-week programme), investor database, co-founder matchmaking, and ecosystem partnerships. Tuborgfondet-backed.;Any;Any;—;;;;;
Female Initiatives;Found Diverse;https://founddiverse.com;DK-based diversity in startups;General;General;All stages;DK;Varies;Rolling;Non-profit promoting diversity in Danish entrepreneurship through events, mentoring, and community programmes (founded from NWiTA alumni network).;Any;Any;—;;;;;
Female Initiatives;Intech Founders;https://intechfounders.com;DK-based female-led startups;Tech & AI;Tech;All stages;DK;Varies;Rolling;Community and programme for female-led tech startups in Denmark with networking, mentoring, and founder support events.;Any;Any;—;;;;;
Female Initiatives;Kvinde kompagniet;https://kvindekompagniet.dk;DK-based female entrepreneurs;General;General;All stages;DK;Varies;Rolling;Danish network for female entrepreneurs offering peer community, events, and business sparring.;Any;Any;—;;;;;
Female Initiatives;Ladies First;https://ladiesfirst.dk;DK-based female entrepreneurs;General;General;All stages;DK;Varies;Rolling;Copenhagen-based community supporting female founders with networking events, workshops, and mentorship.;Any;Any;—;;;;;
