Opportunity;Name;Link;Criteria;Industrial segment;Stage;Geography;Funding Amount;Deadline;Quick info
Incubator/Accelerator;Accelerace;https://accelerace.dk/;Early to growth stage startups;Tech, Deep Tech, Life Science, Climate;Early-stage, Growth-stage;DK;DKK 100K stipend;Multiple cohorts/year; Early to growth stage startups. 6-month programme  equity-free stipend. Multiple cohorts/year. Has supported 750+ startups since 2008.
Incubator/Accelerator;Akademikernes Startup;https://akademikerne.dk;DK-based startups founded by academics;Tech, Health, General;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Beta Health;https://betahealth.dk;DK-based health tech startups;Health;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Beyond Beta;https://beyondbeta.dk;DK-based beta-stage startups;Tech, General;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Bio Innovation Institute (BII);https://bii.dk/;Life science & deep tech start-ups & researchers;Biotech, Health, Deep Tech, Quantum Tech;Early-stage;DK;Up to EUR 1.8M/start-up and up to EUR 3M/project;Per programme call; Life science & deep tech start-ups & researchers. Programmes  Bio Studio (academic researchers), Venture Lab (incorporated start-ups), BII Quantum Lab (quantum tech). DKK 5.5B funding from Novo Nordisk Foundation for 2026–2035.
Incubator/Accelerator;Cancute;https://cancute.dk;DK-based health tech startups;Health;Early-stage;DK;Varies;Rolling;
Incubator/Accelerator;Care Tech Challenge;https://caretechchallenge.dk;DK-based health tech startups;Health;Early-stage;DK;Varies;Annual (varies);
Incubator/Accelerator;Climate-KIC Urban Mobility Food;https://climate-kic.org;EU-based urban mobility or food systems startups;Cleantech, Food/AgriTech, Sustainability;Early-stage;EU;Varies;Rolling;
Student Entrepreneurship;Copenhagen Health Innovators;https://copenhagenhealthinnovators.dk;"DK-based students; health tech";Health;Early-stage;DK;Varies;Rolling;
Events/Awards;CPH Townhall;https://cph-townhall.dk;DK-based Copenhagen startups;General;Early-stage;DK;;Annual (varies);
Events/Awards;Creative Business Cup;https://cbc.dk;DK-based creative industry startups;Creative Industries;Early-stage;DK;Prize-based;Annual (varies);
Events/Awards;Danish Entrepreneurship Festival;https://entrepreneurshipfestival.dk;DK-based startups;General;All;DK;;Annual (varies);
