Opportunity;Name;Link;Criteria;Industrial segment;Stage;Geography;Funding Amount;Deadline;Quick info;CVR at application;CVR at programme start
Awards;Creative Business Cup;https://www.cbnet.com/creative-business-cup;DK-based creative industry startups;Creative Industries;Early venture;DK, International;Prize-based (national/global packages vary yearly);Annual (varies);Creative Business Network global competition for creative-industry startups. National rounds (incl. Denmark) feed Global Finals. Prize and in-kind packages vary by year and national partner. Incorporated startups often preferred for competition rounds.;Any;Any
Awards;EY Entrepreneur of the Year;https://ey.com/dk;DK-based entrepreneurs;General;Growth/scale;DK;Recognition only (no cash prize);Annual (varies);"Prestigious annual award programme recognising outstanding Danish entrepreneurs across categories; visibility and national profile.";Any;Any
Awards;Global Startup Awards;https://globalstartupawards.com;Global startups;General;All stages;Global;Recognition only (in-kind from sponsors);Annual (varies);International startup awards with Nordic regional rounds celebrating founders across categories and stages.;Any;Any
Awards;Green Leap Challenge;https://www.foodbiocluster.dk/;DK-based early agrifood / bioresource ideas (pre-sales);Cleantech, Sustainability, Food, Biotech;Early venture;DK;DKK 50K per winner (3 prizes/year);"Annual (varies; typically spring/autumn call)";Food & Bio Cluster Denmark annual idea competition for green agrifood and bioresource concepts (often pre-sales). Typically 3 × DKK 50K prizes plus exposure. Watch Food & Bio Cluster news/events for the next call. Winners typically incorporate or already have CVR to receive DKK 50K.;Any;Any
Awards;Nordic Proptech Awards 2026;https://nordicproptechawards.com;Nordics-based proptech startups;PropTech;Early venture;Nordics;Recognition only (in-kind: mentorship, membership);Annual (2026);Annual awards recognising leading Nordic proptech startups and innovations in real estate technology.;Any;Any
Awards;Nordic Women in Tech Awards;https://nordicwomenintechawards.com/;Nordics-based female leaders in tech;Tech;All stages;Nordics;Recognition only (no cash prize);Annual (varies);"Volunteer-run annual awards gala celebrating female role models in Nordic tech across 11 categories; conference and networking events.";Any;Any
Awards;Odin Award;https://igniteodense.nu/investor-odin-award/;DK-based startups and scaleups (Odense/Fyn ecosystem);General;All stages;DK;"DKK 40K (main prize; category amounts vary)";Annual (varies);"Odense/Fyn awards (Odin, Tech, Concept, Impact) organised with Ignite Odense / Coworking Plus. Main prize historically around DKK 40K; category amounts vary. Concept targets early pre-company ideas; other categories favour established startups. Concept category targets pre-CVR ideas; Odin/Tech/Impact categories are for established startups (CVR expected).";No;Any
Events;CPH Townhall;https://techstartup.dk/;DK-based Copenhagen startups;General;All stages;DK;Event (no grant);Recurring / per event;Townhall-style Copenhagen startup community events run under Techstartup.dk (pitches, networking, ecosystem updates). Townhall is one of their recurring formats.;Any;Any
Events;Danmarks Entreprenørskabsfestival;https://ffefonden.dk/festival/;Pupils, students and educators in entrepreneurship education (primary to higher ed);General, Education;All stages;DK;Event / prizes within education programmes (varies);"Annual (Nov; multiple locations)";Fonden for Entreprenørskab’s national entrepreneurship-in-education festival across six locations (primary, youth and higher education). Includes INSPIRE teacher conference, pitching finales (e.g. Projekt Edison, Start Up Programme) and prizes — primarily an education ecosystem event, not a general startup conference.;Any;Any
Events;Digital Tech Summit;https://digitaltechsummit.dk;DK-based tech startups;Tech, General;All stages;DK;;Annual (varies);Major Danish tech conference connecting startups, corporates, and investors with programme tracks across digital technologies.;Any;Any
Events;Founder Festival;https://foundersfestival.dk/;Self-employed / sole traders / aspiring founders (Odense focus);General;All stages;DK;Event (no grant);3 September 2026;One-day Founders Festival in Odense (Thrige Firkanten), organised by Ejendomsselskabet Olav de Linde and Odense Kommune. Talks, workshops and 1:1 advisor sessions for new and established self-employed founders and people considering starting.;Any;Any
Events;Ignite;https://ignite.dk;DK-based startups;General;All stages;DK;;Annual (varies);Odense entrepreneurship festival (Ignite Odense) with talks, networking, and award ceremonies for Funen-region startups.;Any;Any
